City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,Tuktoyaktuk,100,CA,2021-05-29 17:13:27,75,69.4541,-133.0374,31.77,7.99
127,Upernavik,92,GL,2021-05-29 17:13:27,94,72.7868,-56.1549,31.51,14.76
128,Namibe,9,AO,2021-05-29 17:13:28,69,-15.1961,12.1522,75.07,7.34
129,Cartagena Del Chaira,82,CO,2021-05-29 17:13:28,61,1.3349,-74.8429,86.65,2.17
130,Faanui,74,PF,2021-05-29 17:13:28,70,-16.4833,-151.75,79.12,3.71
131,Mar Del Plata,40,AR,2021-05-29 17:12:13,54,-38.0023,-57.5575,48.99,11.99
132,Lisieux,65,FR,2021-05-29 17:13:29,80,49.1667,0.1667,66.56,9.93
133,Sur,13,OM,2021-05-29 17:12:55,49,22.5667,59.5289,91.0,10.11
134,Kargasok,50,RU,2021-05-29 17:13:29,58,59.0556,80.8572,44.53,7.16
135,Matamoros,1,MX,2021-05-29 17:13:30,36,25.5333,-103.25,89.71,3.49
136,Sept-Iles,31,CA,2021-05-29 17:13:30,65,50.2001,-66.3821,53.26,5.99
137,Chuy,45,UY,2021-05-29 17:13:30,57,-33.6971,-53.4616,57.83,17.47
138,Leningradskiy,79,RU,2021-05-29 17:13:31,80,69.3833,178.4167,29.89,7.7
139,Maldonado,93,UY,2021-05-29 17:13:31,67,-34.6667,-54.9167,52.99,19.71
140,Cherepanovo,46,RU,2021-05-29 17:13:32,69,54.2222,83.381,45.86,2.89
141,Port-Gentil,100,GA,2021-05-29 17:13:32,86,-0.7193,8.7815,79.16,12.06
142,Mukacheve,100,UA,2021-05-29 17:13:32,89,48.4392,22.7178,52.39,6.24
143,Berlevag,95,NO,2021-05-29 17:12:58,79,70.8578,29.0864,39.92,15.7
144,Pangnirtung,75,CA,2021-05-29 17:13:33,75,66.1451,-65.7125,33.8,16.11
145,Souillac,75,MU,2021-05-29 17:13:33,88,-20.5167,57.5167,77.38,5.61
146,Port Hedland,100,AU,2021-05-29 17:13:34,83,-20.3167,118.5667,69.85,5.75
147,Listvyanskiy,46,RU,2021-05-29 17:13:34,71,54.4399,83.4984,51.19,3.13
148,Cap Malheureux,11,MU,2021-05-29 17:13:34,89,-19.9842,57.6142,77.49,1.99
149,Quchan,0,IR,2021-05-29 17:13:35,22,37.106,58.5095,77.49,7.23
150,Cayenne,75,GF,2021-05-29 17:13:35,81,4.9333,-52.3333,86.04,1.99
151,Rosetta,0,EG,2021-05-29 17:13:35,75,31.4044,30.4164,71.85,7.58
152,Balaipungut,95,ID,2021-05-29 17:13:36,88,1.05,101.2833,81.01,2.75
153,Seoul,0,KR,2021-05-29 17:10:12,93,37.5683,126.9778,54.91,2.73
154,Atar,100,MR,2021-05-29 17:13:36,8,20.5169,-13.0499,108.7,18.05
155,Lorengau,93,PG,2021-05-29 17:13:36,77,-2.0226,147.2712,82.35,11.77
156,Davila,97,PH,2021-05-29 17:13:37,76,18.4726,120.5763,83.08,1.61
157,Muli,98,MV,2021-05-29 17:13:37,73,2.9167,73.5667,84.15,19.6
158,Port Said,0,EG,2021-05-29 17:13:38,73,31.2565,32.2841,73.78,14.34
159,Ancud,100,CL,2021-05-29 17:13:21,72,-41.8697,-73.8203,48.42,8.25
160,Samana,20,DO,2021-05-29 17:13:38,65,19.2056,-69.3369,84.22,7.0
161,Pandan,74,PH,2021-05-29 17:13:38,84,14.0453,124.1694,80.82,5.03
162,Sao Francisco,100,BR,2021-05-29 17:13:39,29,-15.9486,-44.8644,91.58,3.27
163,Provideniya,7,RU,2021-05-29 17:13:39,52,64.3833,-173.3,40.3,12.57
164,Naze,100,JP,2021-05-29 17:13:40,87,28.3667,129.4833,66.63,6.73
165,Lagoa,67,PT,2021-05-29 17:13:40,71,39.05,-27.9833,63.43,5.75
166,Benjamin Constant,20,BR,2021-05-29 17:13:41,70,-4.3831,-70.0311,89.73,2.35
167,Bontang,26,ID,2021-05-29 17:13:41,88,0.1333,117.5,79.09,5.77
168,East London,34,ZA,2021-05-29 17:13:41,63,-33.0153,27.9116,65.37,19.71
169,Amapa,82,BR,2021-05-29 17:10:49,82,1.0,-52.0,81.82,3.18
170,Heyang,100,CN,2021-05-29 17:13:42,97,26.1011,107.473,63.01,2.57
171,Sao Gabriel Da Cachoeira,51,BR,2021-05-29 17:13:42,72,-0.1303,-67.0892,85.33,1.9
172,Mount Gambier,0,AU,2021-05-29 17:13:43,93,-37.8333,140.7667,37.31,2.3
173,Miedzyrzec Podlaski,70,PL,2021-05-29 17:13:43,77,51.9864,22.7825,55.22,10.49
174,Labuhan,54,ID,2021-05-29 17:13:43,85,-6.8844,112.2051,78.53,6.15
175,Hamilton,90,US,2021-05-29 17:10:58,81,39.1834,-84.5333,52.88,1.99
176,Saint-Georges,20,GD,2021-05-29 17:13:44,65,12.0564,-61.7485,83.88,20.71
177,Broome,90,US,2021-05-29 17:13:44,92,42.2506,-75.833,48.63,3.0
178,Copiapo,0,CL,2021-05-29 17:13:44,22,-27.3667,-70.3333,58.69,5.41
179,Kahului,20,US,2021-05-29 17:09:00,71,20.8947,-156.47,77.85,3.44
180,Moindou,78,NC,2021-05-29 17:13:45,69,-21.6924,165.677,66.15,12.91
181,Gamba,64,GA,2021-05-29 17:13:45,84,-2.65,10.0,78.82,6.71
182,Fort Nelson,100,CA,2021-05-29 17:13:46,41,58.8053,-122.7002,59.61,3.42
183,Alofi,89,NU,2021-05-29 17:13:46,82,-19.0595,-169.9187,78.24,15.37
184,Launceston,57,AU,2021-05-29 17:13:46,94,-41.45,147.1667,33.44,1.88
185,Clyde River,78,CA,2021-05-29 17:13:47,80,70.4692,-68.5914,32.54,3.36
186,Steamboat Springs,1,US,2021-05-29 17:12:49,34,40.485,-106.8317,69.73,3.44
187,Salmon Creek,1,US,2021-05-29 17:13:47,66,45.7107,-122.649,65.41,1.01
188,Ranghulu,29,CN,2021-05-29 17:13:48,52,46.65,124.8667,58.5,4.12
189,Touros,63,BR,2021-05-29 17:13:48,64,-5.1989,-35.4608,86.9,18.23
190,San Isidro,90,PE,2021-05-29 17:13:48,86,-12.1167,-77.05,65.79,7.85
191,Misratah,21,LY,2021-05-29 17:09:50,74,32.3754,15.0925,73.44,14.41
192,Inta,99,RU,2021-05-29 17:10:40,70,66.0317,60.1659,42.87,10.45
193,Presidencia Roque Saenz Pena,6,AR,2021-05-29 17:13:49,26,-26.7852,-60.4388,73.9,13.09
194,Maraial,55,BR,2021-05-29 17:13:49,58,-8.7825,-35.8089,80.89,10.63
195,Hovd,60,MN,2021-05-29 17:13:50,55,48.0056,91.6419,50.85,10.47
196,Ribeira Grande,75,PT,2021-05-29 17:13:50,77,38.5167,-28.7,66.6,0.0
197,Beloha,17,MG,2021-05-29 17:13:50,74,-25.1667,45.05,66.16,4.27
198,Nushki,5,PK,2021-05-29 17:13:51,12,29.5542,66.0215,87.03,5.73
199,Fairbanks,90,US,2021-05-29 17:10:03,50,64.8378,-147.7164,44.02,13.8
200,Mount Vernon,90,US,2021-05-29 17:10:59,88,40.9126,-73.8371,51.19,1.99
201,Turka,100,UA,2021-05-29 17:13:51,96,49.1541,23.0297,51.8,4.99
202,Hotton,48,BE,2021-05-29 17:13:52,65,50.2667,5.45,68.13,11.05
203,Aykhal,25,RU,2021-05-29 17:09:57,61,66.0,111.5,50.36,7.14
204,Shaoguan,100,CN,2021-05-29 17:13:52,97,24.8,113.5833,76.37,2.39
205,Le Portel,35,FR,2021-05-29 17:13:53,77,50.7056,1.5757,67.41,16.78
206,Sao Joao Da Barra,1,BR,2021-05-29 17:13:53,62,-21.6403,-41.0511,89.69,8.55
207,Baykit,100,RU,2021-05-29 17:13:54,98,61.67,96.37,36.77,6.62
208,Moose Jaw,96,CA,2021-05-29 17:13:54,45,50.4001,-105.5344,61.29,15.68
209,Namioka,95,JP,2021-05-29 17:13:54,86,40.7072,140.5894,59.76,5.79
210,Comodoro Rivadavia,0,AR,2021-05-29 17:12:10,32,-45.8667,-67.5,49.86,16.11
211,Cubuk,40,TR,2021-05-29 17:13:55,67,40.2386,33.0322,60.76,6.08
212,Pacific Grove,90,US,2021-05-29 17:13:39,89,36.6177,-121.9166,65.57,3.0
213,Blackwater,99,AU,2021-05-29 17:13:55,60,-23.5833,148.8833,55.85,6.58
214,Matagami,0,CA,2021-05-29 17:13:56,26,49.7502,-77.6328,56.97,4.83
215,Tuatapere,100,NZ,2021-05-29 17:13:56,94,-46.1333,167.6833,49.82,7.09
216,Yatou,2,CN,2021-05-29 17:13:56,92,37.15,122.3833,55.98,7.23
217,Vanavara,100,RU,2021-05-29 17:13:57,93,60.34,102.2797,34.14,5.17
218,Nanortalik,88,GL,2021-05-29 17:13:57,84,60.1432,-45.2371,37.89,6.13
219,Tabou,99,CI,2021-05-29 17:13:57,74,4.423,-7.3528,83.68,8.23
220,Ruteng,100,ID,2021-05-29 17:13:58,94,-8.6136,120.4721,62.98,0.83
221,Texarkana,1,US,2021-05-29 17:13:58,64,33.4251,-94.0477,72.84,5.01
222,Awjilah,1,LY,2021-05-29 17:13:58,10,29.1081,21.2869,102.88,8.7
223,Xam Nua,88,LA,2021-05-29 17:13:59,86,20.4197,104.0439,71.04,3.44
224,Banes,3,CU,2021-05-29 17:13:59,60,20.9625,-75.7186,90.21,9.13
225,Laguna,1,US,2021-05-29 17:14:00,60,38.421,-121.4238,76.84,5.01
226,Sarangani,100,PH,2021-05-29 17:14:00,74,5.4033,125.4636,84.02,14.45
227,Mama,100,RU,2021-05-29 17:14:00,98,58.3106,112.8986,41.9,3.15
228,Victoria,100,HK,2021-05-29 17:12:38,88,22.2855,114.1577,86.97,1.01
229,Honolulu,20,US,2021-05-29 17:10:52,70,21.3069,-157.8583,75.96,1.01
230,Zlobin,40,HR,2021-05-29 17:14:01,70,45.2924,14.6541,53.15,11.39
231,Saint-Francois,0,FR,2021-05-29 17:14:02,38,46.4154,3.9054,74.64,9.22
232,Beringovskiy,22,RU,2021-05-29 17:14:02,89,63.05,179.3167,28.76,9.48
233,Ferme-Neuve,0,CA,2021-05-29 17:14:03,22,46.7001,-75.4493,59.0,6.26
234,Vila Velha,20,BR,2021-05-29 17:14:03,56,-20.3297,-40.2925,87.75,18.01
235,Alyangula,64,AU,2021-05-29 17:14:03,74,-13.8483,136.4192,74.05,13.09
236,Amli,97,IN,2021-05-29 17:14:04,68,20.2833,73.0167,85.37,7.56
237,Bereda,69,ES,2021-05-29 17:14:04,68,43.2686,-7.5406,68.41,7.81
238,Palmer,100,US,2021-05-29 17:09:20,81,42.1584,-72.3287,48.38,1.99
239,Torrington,100,US,2021-05-29 17:10:03,96,41.8007,-73.1212,48.04,5.99
240,Clarksdale,90,US,2021-05-29 17:14:05,82,34.2001,-90.5709,62.47,11.03
241,Severnyy,75,RU,2021-05-29 17:14:05,77,50.677,36.5532,68.04,2.24
242,Katsuura,49,JP,2021-05-29 17:14:06,86,35.1333,140.3,69.12,14.81
243,Neryungri,46,RU,2021-05-29 17:14:06,75,56.6709,124.6491,41.34,3.2
244,Serenje,0,ZM,2021-05-29 17:14:06,50,-13.2325,30.2352,55.74,5.73
245,Saint-Pierre,0,RE,2021-05-29 17:14:07,79,-21.3393,55.4781,71.28,2.3
246,Tynda,10,RU,2021-05-29 17:14:07,93,55.1667,124.7167,38.66,1.79
247,Shimoda,50,JP,2021-05-29 17:14:07,88,34.6667,138.95,69.17,10.92
248,Afzalpur,93,IN,2021-05-29 17:14:08,76,17.2,76.35,79.0,21.36
249,Zyryanka,5,RU,2021-05-29 17:14:08,54,65.75,150.85,47.61,18.01
250,Karratha,100,AU,2021-05-29 17:12:48,73,-20.7377,116.8463,71.01,10.58
251,Narsaq,100,GL,2021-05-29 17:14:09,74,60.9167,-46.05,44.82,6.4
252,Mount Pleasant,1,US,2021-05-29 17:14:09,72,32.7941,-79.8626,82.18,3.0
253,Caravelas,81,BR,2021-05-29 17:13:08,63,-17.7125,-39.2481,82.67,8.81
254,Coquimbo,0,CL,2021-05-29 17:14:10,77,-29.9533,-71.3436,60.53,7.16
255,Hualmay,70,PE,2021-05-29 17:14:10,76,-11.0964,-77.6139,68.59,10.51
256,Shellbrook,84,CA,2021-05-29 17:14:10,41,53.2168,-106.4011,58.39,18.77
257,Kavieng,90,PG,2021-05-29 17:14:11,81,-2.5744,150.7967,81.86,11.43
258,Hambantota,99,LK,2021-05-29 17:14:11,81,6.1241,81.1185,80.35,19.69
259,Sabla,99,NG,2021-05-29 17:14:11,11,12.7525,4.7077,103.71,3.65
260,Bagado,41,CO,2021-05-29 17:14:12,57,5.4116,-76.4152,88.45,3.22
261,Hirara,56,JP,2021-05-29 17:14:02,87,24.8,125.2833,80.82,7.09
262,Pangkalanbuun,100,ID,2021-05-29 17:14:12,98,-2.6833,111.6167,73.44,2.51
263,Saldanha,99,ZA,2021-05-29 17:14:13,85,-33.0117,17.9442,59.49,9.46
264,Altos,35,BR,2021-05-29 17:11:49,41,-5.0381,-42.46,88.11,3.31
265,Chokurdakh,9,RU,2021-05-29 17:14:13,59,70.6333,147.9167,45.09,9.1
266,Marawi,63,PH,2021-05-29 17:14:14,93,7.9986,124.2928,72.64,1.66
267,Gwadar,0,PK,2021-05-29 17:14:14,77,25.1216,62.3254,85.8,13.33
268,Celestun,4,MX,2021-05-29 17:09:19,51,20.8667,-90.4,88.56,2.75
269,Manuk Mangkaw,64,PH,2021-05-29 17:14:15,72,4.8,119.85,83.84,3.69
270,Coihaique,90,CL,2021-05-29 17:14:15,57,-45.5752,-72.0662,44.55,5.75
271,Talnakh,94,RU,2021-05-29 17:14:16,98,69.4865,88.3972,29.39,5.35
272,Severo-Kurilsk,67,RU,2021-05-29 17:14:16,83,50.6789,156.125,39.13,3.58
273,Port Macquarie,92,AU,2021-05-29 17:09:22,78,-31.4333,152.9167,52.9,15.03
274,Saint-Augustin,40,CA,2021-05-29 17:14:16,36,51.226,-58.6502,56.7,7.63
275,Ural,66,RU,2021-05-29 17:14:17,64,55.9078,94.7464,36.01,4.88
276,Gravdal,84,NO,2021-05-29 17:14:17,78,68.1214,13.5031,45.01,9.17
277,Kloulklubed,100,PW,2021-05-29 17:12:15,88,7.0419,134.2556,81.1,12.35
278,Kodinsk,100,RU,2021-05-29 17:14:18,80,58.6881,99.1844,36.48,7.76
279,Santa Isabel Do Rio Negro,36,BR,2021-05-29 17:14:18,52,-0.4139,-65.0192,91.44,3.83
280,Vardo,90,NO,2021-05-29 17:14:18,74,70.3705,31.1107,39.54,15.05
281,Tottori,70,JP,2021-05-29 17:11:10,86,35.5,134.2333,57.67,2.64
282,Viedma,5,AR,2021-05-29 17:14:19,40,-40.8135,-62.9967,51.89,16.93
283,Ishigaki,83,JP,2021-05-29 17:14:19,82,24.3448,124.1572,81.28,1.45
284,Georgetown,20,MY,2021-05-29 17:14:19,81,5.4112,100.3354,84.13,4.41
285,Hasaki,42,JP,2021-05-29 17:14:20,83,35.7333,140.8333,66.6,1.19
286,Nicoya,89,CR,2021-05-29 17:14:20,51,10.1483,-85.452,87.35,1.01
287,Geraldton,75,AU,2021-05-29 17:14:21,67,-28.7667,114.6,64.13,14.65
288,Maniitsoq,91,GL,2021-05-29 17:14:21,57,65.4167,-52.9,45.82,12.01
289,Quatre Cocos,23,MU,2021-05-29 17:14:22,87,-20.2078,57.7625,77.11,4.38
290,Filadelfia,90,US,2021-05-29 17:12:13,92,39.9523,-75.1638,51.37,4.0
291,Port Lincoln,0,AU,2021-05-29 17:14:22,65,-34.7333,135.8667,56.44,14.38
292,Barabai,52,ID,2021-05-29 17:14:23,98,-2.5833,115.3833,74.44,1.43
293,Conceicao Do Araguaia,11,BR,2021-05-29 17:14:23,37,-8.2578,-49.2647,91.8,2.21
294,Sompeta,71,IN,2021-05-29 17:14:24,78,18.9333,84.6,83.59,9.8
